Export Type,Metadata Report
Project,VH2D-Project-Wk-22-2026
Responsible Researcher,PhD Student Javier I. Camacho
Generated At,2026-06-06 10:47:46
Sections,"Plan, DAQ Systems, Sensors Mapping, Gas Mixing"

[TAB] Plan
Run Name,Group,Group Description,Status,Done,Preparation,Schedule,Planned Date,Planned Day,H2 (%),H2 Injected (g),MFC Flow (SLPM),Ignition,Vent,P0 (Pa),T0 (K),Recirc Stop To Ignition (s),Case ID / CFD Hash,Data Files Count,File Path (Raw_Data Folder),Short Description,Run Notes,Error,Error Note,Canceled,Canceled Note
Prep-Wk22-01,Prep-Wk22,Preparation,done,Yes,Yes,2026-05-25,2026-05-25,,13.5,8.275657522940918,20,Back Wall,Thin Film with Hotwire NOT Activated,101325,292.15,,,3,Prep-Wk22-01/H2BGA/Prep-01-H2BGA-U.csv | Prep-Wk22-01/DAQ-1/Prep-01.exp/data/Prep-01-DAQ-1.tpc5 | Prep-Wk22-01/DAQ-2/Prep-01-DAQ-2.mf4,Preliminar Test,"Recirc stop → ignition time (s): No Recorded

injected 8.276 gr temp 292.15 K",No,,No,
Verif-Wk22-01,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,13.5,8.216595905954765,20,Back Wall,Thin Film with Hotwire Activated,101325,294.25,312,,5,Verif-Wk22-01/DAQ-1/DAQ-1-Verif-01.tpc5 | Verif-Wk22-01/DAQ-2/DAQ-2-Verif_01.mf4 | Verif-Wk22-01/H2BGA/H2BGA-L-Verif-01-260526-120036.csv | Verif-Wk22-01/H2BGA/H2BGA-M-Verif-01-260526-115955.csv | Verif-Wk22-01/H2BGA/H2BGA-U-Verif-01-260526-115817.csv,,"Physical Range -1,1 bar",No,,No,
Verif-Wk22-02,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,14,9.383538505159276,20,Back Wall,Thin Film with Hotwire Activated,101325,293.15,321,,3,Verif-Wk22-02/H2BGA/H2BGA-U-M-L-Verif-02-260526-144155.csv | Verif-Wk22-02/DAQ-1/DAQ-1-Verif-02.tpc5 | Verif-Wk22-02/DAQ-2/DAQ-2-Verif_02/DAQ-2-Verif_02.mf4,,"Physical Range -1,1 bar",No,,No,
Verif-Wk22-03,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,16,10.637876563061878,20,Back Wall,Thin Film with Hotwire Activated,101325,294.15,263,,3,Verif-Wk22-03/DAQ-1/DAQ-1-Verif-03.tpc5 | Verif-Wk22-03/DAQ-2/DAQ-2-Verif-03/DAQ-2-Verif-03.mf4 | Verif-Wk22-03/H2BGA/H2BGA-U-M-L-Verif-03-260526-160316.csv,,"
Channel 2 Physical Range -1, ,1 bar
Channel 2 Physical Range -0.5, ,0.5 bar
Leak on Blind Sensor Flange Connection 3L & 5L 

Volume Correction +0.06708 

",No,,No,
Verif-Wk22-04,Verif-Wk22,Performance Verification,done,Yes,Yes,2026-05-26,2026-05-26,,18,12.070196519467626,20,Back Wall,Thin Film with Hotwire Activated,101325,291.65,233,,3,Verif-Wk22-04/DAQ-1/DAQ-1-Verif-04.tpc5 | Verif-Wk22-04/DAQ-2/DAQ-2-Verif-04/DAQ-2-Verif-04.mf4 | Verif-Wk22-04/H2BGA/H2BGA-U-M-L-Verif-04-260526-174304.csv,,P1 swapped for P5,No,,No,
VH2D-Wk22-01-01,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,16,10.674164731450286,20,Back Wall,Thin Film with Hotwire Activated,101325,293.15,,,3,VH2D-Wk22-01-01/H2BGA/H2BGA-U-M-L-VH2D-01-01-260527-140320.csv | VH2D-Wk22-01-01/DAQ-2-3/DAQ-2-3-VH2D-01-01.mf4 | VH2D-Wk22-01-01/DAQ-1/DAQ-1-VH2D-01-01.tpc5,,,No,,No,
VH2D-Wk22-01-02,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,16,10.714368741738232,20,Back Wall,Thin Film with Hotwire Activated,101325,292.05,228,,3,VH2D-Wk22-01-02/DAQ-1/DAQ-1-VH2D-01-02.tpc5 | VH2D-Wk22-01-02/H2BGA/H2BGA-U-M-L-VH2D-01-02-260527-150043.csv | VH2D-Wk22-01-02/DAQ-2-3/DAQ-2-3-VH2D-01-02.mf4,,,No,,No,
VH2D-Wk22-01-03,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,18,,20,Back Wall,Thin Film with Hotwire Activated,101325,293,201,,2,VH2D-Wk22-01-03/DAQ-1/DAQ-1-VH2D-01-03.tpc5 | VH2D-Wk22-01-03/DAQ-2-3/DAQ-2-3-VH2D-01-03.mf4,,,No,,No,
VH2D-Wk22-01-04,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,18,12.103396303602311,20,Back Wall,Thin Film with Hotwire Activated,101325,290.85,168,,3,VH2D-Wk22-01-04/DAQ-1/DAQ-1-VH2D-01-04.tpc5 | VH2D-Wk22-01-04/DAQ-2-3/DAQ-2-3-VH2D-01-04.mf4 | VH2D-Wk22-01-04/H2BGA/H2BGA-U-M-L-VH2D-01-04-260527-164423.csv,,"PP1 and PP3 swapped

DAQ-3 sampling rate 62.5kHz changed to 200kHz",No,,No,
VH2D-Wk22-01-05,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),canceled,No,Yes,2026-05-27,2026-05-27,3,19,,20,Back Wall,Thin Film with Hotwire Activated,101325,293,,,0,,,DAQ-3 sampling rate 62.5kHz changed to 200kHz,No,,Yes,Time restriction
VH2D-Wk22-01-06,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),canceled,No,Yes,2026-05-27,2026-05-27,,19,,,Back Wall,Thin Film with Hotwire Activated,101325,293,,,0,,,,No,,Yes,Time restriction
VH2D-Wk22-01-07,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),done,Yes,Yes,2026-05-27,2026-05-27,,20,13.461640414306215,20,Back Wall,Thin Film with Hotwire Activated,101325,290.56,,,3,VH2D-Wk22-01-07/DAQ-1/DAQ-1-VH2D-01-07.tpc5 | VH2D-Wk22-01-07/DAQ-2-3/VH2D-01-07.mf4 | VH2D-Wk22-01-07/H2BGA/H2BGA-U-M-L-VH2D-01-07-260527-180934.csv,,PP1 and PP3 swapped,No,,No,
VH2D-Wk22-01-08,VH2D-Wk22-01,Vented deflagration concentration series (Hotwire),canceled,No,Yes,2026-05-27,2026-05-27,,20,,,Back Wall,Thin Film with Hotwire Activated,101325,293,,,0,,,,No,,Yes,Time restriction
VH2D-Wk22-02-01,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,289.95,243,,4,VH2D-Wk22-02-01/DAQ-1/DAQ-1-VH2D-02-01.tpc5 | VH2D-Wk22-02-01/DAQ-2-3/DAQ-2-3-VH2D-02-01.mf4 | VH2D-Wk22-02-01/DAQ-4/DAQ-4-VH2D-02-01.mf4 | VH2D-Wk22-02-01/H2BGA/H2BGA-U-M-L-VH2D-02-01-260528-105051.csv,,"Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-02-02,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,291.15,231,,4,VH2D-Wk22-02-02/DAQ-1/DAQ-1-VH2D-02-02.tpc5 | VH2D-Wk22-02-02/DAQ-2-3/DAQ-2-3-VH2D-02-02.mf4 | VH2D-Wk22-02-02/DAQ-4/DAQ-4-VH2D-02-02.mf4 | VH2D-Wk22-02-02/H2BGA/H2BGA-U-M-L-VH2D-02-02-260528-115959.csv,,"P3 and P7 swapped

Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-02-03,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,Back Wall,Thin Film with Hotwire Activated,101325,293.15,232,,4,VH2D-Wk22-02-03/DAQ-1/DAQ-1-VH2D-02-03.tpc5 | VH2D-Wk22-02-03/DAQ-2-3/DAQ-2-3-VH2D-02-03.mf4 | VH2D-Wk22-02-03/DAQ-4/DAQ-4-VH2D-02-03.mf4 | VH2D-Wk22-02-03/H2BGA/H2BGA-U-M-L-VH2D-02-03-260528-134340.csv,,"P3 and P7 swapped

Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-02-04,VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,back,thin film,101325,292.15,221,,4,VH2D-Wk22-02-04/DAQ-1/DAQ-1-VH2D-02-04.tpc5 | VH2D-Wk22-02-04/DAQ-2-3/DAQ-2-3-VH2D-02-04.mf4 | VH2D-Wk22-02-04/DAQ-4/DAQ-4-VH2D-02-04.mf4 | VH2D-Wk22-02-04/H2BGA/H2BGA-U-M-L-VH2D-02-04-260528-144105.csv,,"P3 and P7 swapped

Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-01,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,292.45,230,,3,VH2D-Wk22-03-01/DAQ-1/DAQ-1-VH2D-03-01.tpc5 | VH2D-Wk22-03-01/DAQ-2-3/DAQ-2-3-VH2D-03.mf4 | VH2D-Wk22-03-01/H2BGA/H2BGA-U-M-L-VH2D-03-01-260528-160918.csv,,"Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-02,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,18,12.27804,20,Back Wall,Thin Film with Hotwire Activated,101325,292.25,232,,3,VH2D-Wk22-03-02/DAQ-1/DAQ-1-VH2D-03-02.tpc5 | VH2D-Wk22-03-02/DAQ-2-3/DAQ-2-3-VH2D-03-02.mf4 | VH2D-Wk22-03-02/H2BGA/H2BGA-U-M-L-VH2D-03-02-260528-164833.csv,,"PP3 moved to 5m radius

Added 12.278 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-03,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),error,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,Back Wall,Thin Film,101325,292.15,,,3,VH2D-Wk22-03-03/DAQ-1/DAQ-1-VH2D-03-03.tpc5 | VH2D-Wk22-03-03/DAQ-2-3/DAQ-2-3-VH2D-03-03.mf4 | VH2D-Wk22-03-03/H2BGA/H2BGA-U-M-L-VH2D-03-03-260528-173139.csv,Attention!!! Hot-wire short circuit. Check carefully data could compromised.,"Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568

Attention!!! Hot-wire short circuit. Check carefully data could compromised.",Yes,Attention!!! Hot-wire short circuit. Check carefully data could compromised.,No,
VH2D-Wk22-03-04,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,vack,thin,101325,291.65,221,,3,VH2D-Wk22-03-04/DAQ-1/DAQ-1-VH2D-03-04.tpc5 | VH2D-Wk22-03-04/DAQ-2-3/DAQ-2-3-VH2D-03-04.mf4 | VH2D-Wk22-03-04/H2BGA/H2BGA-U-M-L-VH2D-03-04-260528-181435.csv,,"Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-03-05,VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-28,2026-05-28,,20,13.670800000000002,20,Back  Wall,Thin Film,101325,291.45,321,,3,VH2D-Wk22-03-05/DAQ-1/DAQ-1-VH2D-03-05.tpc5 | VH2D-Wk22-03-05/DAQ-2-3/DAQ-2-3-VH2D-03-05.mf4 | VH2D-Wk22-03-05/H2BGA/H2BGA-U-M-L-VH2D-03-05-260528-184939.csv,,"Added 13.671 gr
Correlation>
M= 69.638 C - 0.2568",No,,No,
VH2D-Wk22-04-01,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,16,10.885280000000002,20,Back Wall,Thin Film with Hotwire Activated,101325,291.75,245,,3,VH2D-Wk22-04-01/DAQ-1/DAQ-1-VH2D-04-01.tpc5 | VH2D-Wk22-04-01/DAQ-2-3/DAQ-2-3-VH2D-04-01_Rec_01.mf4 | VH2D-Wk22-04-01/H2BGA/H2BGA-U-M-L-VH2D-04-01-260529-104759.csv,,"Added 10.885 gr
Correlation>
M= 69.638 C - 0.2568


Missing data from H2CM. !!! Mean Value: 16.1 Vol.%",No,,No,
VH2D-Wk22-04-02,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,16,10.885280000000002,20,Back Wall,Thin Film with Hotwire Activated,101325,292.75,502,,3,VH2D-Wk22-04-02/DAQ-1/DAQ-1-VH2D-04-02.tpc5 | VH2D-Wk22-04-02/DAQ-2-3/DAQ-2-3-VH2D-04-02_Rec_01.mf4 | VH2D-Wk22-04-02/H2BGA/H2BGA-U-M-L-VH2D-04-02-260529-115753.csv,,"Added 10.885 gr
Correlation>
M= 69.638 C - 0.2568
1024 hPa
HR 53%
",No,,No,
VH2D-Wk22-04-03,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,21,14.367180000000001,20,Back,thin plastic,101325,293.05,261,,3,VH2D-Wk22-04-03/DAQ-1/DAQ-1-VH2D-04-03.tpc5 | VH2D-Wk22-04-03/DAQ-2-3/DAQ-2-3-VH2D-04-03_Rec_01.mf4 | VH2D-Wk22-04-03/H2BGA/H2BGA-U-M-L-VH2D-04-03-260529-125215.csv,,"Added 14.367 gr
Correlation>
M= 69.638 C - 0.2568
1023 hPa
HR 57%",No,,No,
VH2D-Wk22-04-04,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,21,14.367180000000001,20,Back Wall,Thin Film with Hotwire Activated,101325,293.75,252,,3,VH2D-Wk22-04-04/DAQ-1/DAQ-1-VH2D-04-04.tpc5 | VH2D-Wk22-04-04/DAQ-2-3/DAQ-2-3-VH2D-04-04_Rec_01.mf4 | VH2D-Wk22-04-04/H2BGA/H2BGA-U-M-L-VH2D-04-04-260529-135315.csv,,"Added 14.367 gr
Correlation>
M= 69.638 C - 0.2568
1023 hPa
HR 44%",No,,No,
VH2D-Wk22-04-05,VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI),done,Yes,No,2026-05-29,2026-05-29,,12,8.09976,10,Back Wall,Thin Film with Hotwire Activated,101325,295.05,,,3,VH2D-Wk22-04-05/DAQ-1/DAQ-1-VH2D-04-05.tpc5 | VH2D-Wk22-04-05/DAQ-2-3/DAQ-2-3-VH2D-04-05_Rec_01.mf4 | VH2D-Wk22-04-05/H2BGA/H2BGA-M-U-L-M-VH2D-04-05-260529-150229.csv,Non Homogenous Flammable Mixture,"Added xxxx gr for a 12vol.%
1020 hPa
HR 41%
Non HOmogeneous
",No,,No,

[TAB] Plan Group Objectives
Group,Objective
Prep-Wk22,Preparation
Verif-Wk22,Performance Verification
VH2D-Wk22-01,Vented deflagration concentration series (Hotwire)
VH2D-Wk22-02,Vented deflagration concentration series (LU vs Kistler)
VH2D-Wk22-03,Vented deflagration concentration series (LU vs DBI)
VH2D-Wk22-04,Vented deflagration concentration series (LU vs DBI)

[TAB] DAQ Systems
DAQ System Name,Measured Quantity,Vendor,Model,Serial Number,Sampling Rate (Hz),Channel Count,Owner,Last Calibration Date,Calibration Certificate ID,Active,Notes
DAQ-1,pressure,Elsys - Kistler,TraNET 204S8,441309,1000000,8,LU,2024-10-21,,Yes,2 equipement
DAQ-2,pressure,Kistler,5165A4,6306100,200000,4,DBI,,,Yes,200 kHz from VH2D-02
DAQ-3,pressure,Kistler,5165A4,5358310,200000,4,Kistler,,,Yes,200 kHz from VH2D-02
DAQ-4,pressure,Kistler,,,2500000,8,Kistler,,,Yes,
H2BGA,concentration,JCT,JTCD-300,14362,1,1,LU,2025-07-21,,Yes,H2BGA-Hydrogen Binary Gas Analyser

[TAB] Sensors Mapping
Group,Sensor ID,Measured Quantity,DAQ System,DAQ Channel,Serial Number,Sensitivity,Location,"Coord.(x,y,z)m",Mounting,Active,Blind,Trigger Method,Status,Notes
Prep-Wk22,P1,pressure,DAQ-1,CH1,1254024,-80.88 pC/bar,5L,"(-0.45,0.399,0.593)",flush,Yes,No,,Complete,
Prep-Wk22,P2,pressure,DAQ-2,CH2,6266801,-37.02 pC/bar,6L,"(-0.450,0.403,0.290)",flush,Yes,No,M-Duino,Complete,
Prep-Wk22,Trig-1,voltage,DAQ-1,CH5,,- pC/bar,,"(-,-,-)",N/A,Yes,No,M-Duino,Complete,
Prep-Wk22,Trig-2,voltage,DAQ-2,CH4,,- pC/bar,,"(-,-,-)",N/A,Yes,No,M-Duino,Complete,

Group,Sensor ID,Measured Quantity,DAQ System,DAQ Channel,Serial Number,Sensitivity,Location,"Coord.(x,y,z)m",Mounting,Active,Blind,Trigger Method,Status,Notes
Verif-Wk22,P1,pressure,DAQ-1,CH1,1254024,-80.88 pC/bar,5L swaped to 3L on Verif-04,"(0.45,0.593,0.396)",flush,No,No,,Complete,
Verif-Wk22,P2,pressure,DAQ-2,CH1,6266801,-37.02 pC/bar,6L,"(0.450,0.290,0.403)",flush,Yes,No,,Complete,
Verif-Wk22,P3,pressure,DAQ-1,CH2,1008977,-81.58 pC/bar,3L swaped to 5L on Verif-04,"(-0.45,0.396,0.427)",other,Yes,Yes,,Complete,Used to detect electrical/mechanical contamination and ignition-related EMI.
Verif-Wk22,P4,pressure,DAQ-2,CH2,6266802,-37.39 pC/bar,4L,"(-0.45,0.416,0.447)",flush,Yes,No,,Complete,
Verif-Wk22,P5,pressure,DAQ-1,CH3,1946319,-79.12 pC/bar,3L,"(-0.45,0.416,0.447)",flush,Yes,No,,Complete,
Verif-Wk22,P6,pressure,DAQ-2,CH3,,- pC/bar,,"(-,-,-)",flush,Yes,No,,Incomplete,
Verif-Wk22,P7,pressure,DAQ-2,CH3,,- pC/bar,,"(-,-,-)",flush,Yes,No,,Incomplete,
Verif-Wk22,P8,pressure,DAQ-3,CH1,,- pC/bar,,"(-,-,-)",flush,Yes,No,,Incomplete,
Verif-Wk22,PP0,pressure,Kistler LabAmp,CH6,,- pC/bar,,"(0,2,0.68)",flush,Yes,No,,Incomplete,
Verif-Wk22,PP15,pressure,Kistler LabAmp,CH7,,- pC/bar,,"(0,2,0.68)",flush,No,No,,Incomplete,Left Side 15 deg
Verif-Wk22,PP30,pressure,Kistler LabAmp,CH8,,- pC/bar,,"(0,2,0.68)",flush,No,No,,Incomplete,Right Side 30 deg
Verif-Wk22,Trig-1,voltage,DAQ-1,CH5,,- pC/bar,,"(-,-,-)",N/A,Yes,No,M-Duino,Complete,
Verif-Wk22,Trig-2,voltage,DAQ-2,CH4,,- pC/bar,,"(-,-,-)",N/A,Yes,No,M-Duino,Complete,
Verif-Wk22,Trig-3,voltage,DAQ-3,CH2,,- pC/bar,,"(-,-,-)",N/A,Yes,No,M-Duino,Complete,
Group Reference Note (Verif-Wk22),Verification

Group,Sensor ID,Measured Quantity,DAQ System,DAQ Channel,Serial Number,Sensitivity,Location,"Coord.(x,y,z)m",Mounting,Active,Blind,Trigger Method,Status,Notes
VH2D-Wk22-01,P1,pressure,DAQ-1,CH1,1254024,-80.88 pC/bar,5L swaped to 3L on Verif-04,"(0.45,0.593,0.396)",flush,No,No,,Complete,not used today maybe damaged
VH2D-Wk22-01,P2,pressure,DAQ-2,CH1,6266801,-37.02 pC/bar,6L,"(0.450,0.290,0.403)",flush,Yes,No,,Complete,
VH2D-Wk22-01,P3,pressure,DAQ-1,CH2,1008977,-81.58 pC/bar,3L swaped to 5L on Verif-04,"(-0.45,0.396,0.427)",flush,Yes,No,,Complete,Used to detect electrical/mechanical contamination and ignition-related EMI.
VH2D-Wk22-01,P4,pressure,DAQ-2,CH2,6266802,-37.39 pC/bar,4L,"(-0.45,0.416,0.447)",recessed,Yes,Yes,,Complete,
VH2D-Wk22-01,P5,pressure,DAQ-1,CH3,1946319,-79.12 pC/bar,3L,"(-0.45,0.416,0.447)",recessed,Yes,Yes,,Complete,
VH2D-Wk22-01,P6,pressure,DAQ-2,CH3,6266803,-37.66 pC/bar,2L,"(-0.450,0.376,0.447)",recessed,Yes,No,,Complete,
